id,beta,debt_ratio,liquidity_ratio,base_reserves_begin,market_price_begin,user_a_position,liquidate_price,user_b_position,market_price_after_b,profit_loss,profit_percent
103,0.6,9999,0.1,"(36649871750740971435566, 3053950989251, 1645075652)",83.32774013565972,"(-365660154927210230756, 33455000000, 406340154927210230756)",90.35034677730022,"(21857526322139094297903, -159559000000, 1857526322139094297903)",90.34584492379678,0.5220497197514301,
104,0.6,9999,0.12,"(36649871750740971435566, 3053950989251, 1645075712)",83.32774013565972,"(-439740733185477777237, 40146000000, 488690733185477777237)",89.92759414719326,"(21857204818499272270607, -158805000000, 1857204818499272270607)",89.92312652298799,0.7981795040058629,
105,0.6,10000,0.14,"(36649871750740971435566, 3053950989251, 1645075772)",83.32774013565972,"(-514147780903230835915, 46837000000, 571407780903230835915)",89.50485820056173,"(21856671125311148593979, -158034000000, 1856671125311148593979)",89.5004393342636,1.1383428648474425,
106,0.65,9999,0.01,"(36649871750740971435566, 3053950989251, 1645075892)",83.32774013565972,"(-36206937853059909513, 3345000000, 40226937853059909001)",92.26074398399332,"(21857890599861809651132, -162877000000, 1857890599861809651132)",92.25608038011582,0.06985574413781104,
107,0.65,9999,0.02,"(36649871750740971435566, 3053950989251, 1645075952)",83.32774013565972,"(-72504256122461289654, 6691000000, 80554256122461290678)",92.03474214322186,"(21855467738272015873350, -162287000000, 1855467738272015873350)",92.0301313203731,0.06885484132565507,
108,0.65,10001,0.04,"(36649871750740971435566, 3053950989251, 1645075952)",83.32774013565972,"(-145313043603770757731, 13382000000, 161463043603770755683)",91.59290876846707,"(21852328082419762069066, -161268000000, 1852328082419762069066)",91.58832845667811,0.11064970301664799,
109,0.65,9999,0.06,"(36649871750740971435566, 3053950989251, 1645076012)",83.32774013565972,"(-218428708124272618852, 20073000000, 242728708124272618852)",91.15195957134704,"(21849106701338676654104, -160246000000, 1849106701338676654104)",91.14741844382947,0.30194192145727805,
110,0.65,9999,0.08,"(36649871750740971435566, 3053950989251, 1645076072)",83.32774013565972,"(-291863616102966811686, 26764000000, 324353616102966811686)",90.70877116778831,"(21845196758678544085030, -159166000000, 1845196758678544085030)",90.70427266270505,0.5607968680029056,
111,0.65,9999,0.1,"(36649871750740971435566, 3053950989251, 1645076132)",83.32774013565972,"(-365610154927210230756, 33455000000, 406340154927210230756)",90.26774808207134,"(21841440549384470429450, -158105000000, 1841440549384470429450)",90.26328630936324,0.9152049511999342,
112,0.65,10001,0.12,"(36649871750740971435566, 3053950989251, 1645076192)",83.32774013565972,"(-439670733185477777237, 40146000000, 488690733185477777237)",89.82825272144115,"(21837718152151060464375, -157052000000, 1837718152151060464375)",89.82382855916035,1.3037971617716693,
113,0.65,10000,0.14,"(36649871750740971435566, 3053950989251, 1645076207)",83.32774013565972,"(-514057780903230835915, 46837000000, 571407780903230835915)",89.38825719000289,"(21833627854490159539563, -155971000000, 1833627854490159539563)",89.38386243055116,2.175800323726589,
115,0.7,9999,0.01,"(36649871750740971435566, 3053950989251, 1645077513)",83.32774013565972,"(-36206937853059909513, 3345000000, 40226937853059909001)",92.25114056677292,"(21856082045688688451692, -162710000000, 1856082045688688451692)",92.24649635417389,0.07362746842070735,
116,0.7,9999,0.02,"(36649871750740971435566, 3053950989251, 1645077573)",83.32774013565972,"(-72504256122461289654, 6691000000, 80554256122461290678)",92.01555649146228,"(21851830703082949031545, -161952000000, 1851830703082949031545)",92.01092995001305,0.0843702817697703,
117,0.7,10001,0.04,"(36649871750740971435566, 3053950989251, 1645077573)",83.32774013565972,"(-145303043603770755683, 13382000000, 161463043603770755683)",91.56095108229921,"(21846229417185702499449, -160709000000, 1846229417185702499449)",91.55636611758177,0.17296732272053786,
