,0.01,0.02,0.04,0.06,0.08,0.1,0.12,0.14
0.5,-0.07475741609349085,-0.17414455508870855,-0.3622712540834649,-0.5374471090693557,-0.7014996453912806,-0.8556016081746919,-1.0008814710142593,-1.136267800604964
0.55,-0.05070642359639182,-0.17066981301330214,-0.3484126811167513,-0.5073277390727914,-0.6490031317917528,-0.7740214091189593,-0.8857149469067533,-0.9877744590312745
0.6,-0.0730177943258202,-0.16718313500506346,-0.3347219759443661,-0.4767659602787322,-0.5950547885481715,-0.7317136280608806,-0.7734343723727604,-0.8349821269112289
0.65,-0.07214566266994349,-0.16368445625437525,-0.3207074246849817,-0.44596730273656743,-0.5424036936274031,-0.6122156003915414,-0.6544624507455252,-0.6801796994067556
0.7,-0.07127197812340998,-0.1601632447625474,-0.30663827090315665,-0.39108875901177836,-0.4883229695093063,-0.5293023513498946,-0.5402541794113169,-0.5233901455925717
0.75,-0.07039673638448728,-0.15792165194449798,-0.21021025995701567,-0.38380065093920157,-0.43298625355875425,-0.3650960680127516,-0.42133414665975355,-0.3644357878891141
0.8,-0.06951470938488465,-0.15286160785800584,-0.27821831321314566,-0.3522615714837648,-0.37847569069026626,-0.36039630667871564,-0.30098068398287875,-0.2742935655841215
0.85,-0.04585292778064968,-0.14930778960188343,-0.2641351511149915,-0.32060302897514065,-0.3013007382274014,-0.2744012652170962,-0.17902759690867281,-0.04018269207414965
0.9,-0.06775638231352127,-0.14575219617239796,-0.24972978843300206,-0.2885499880628634,-0.2664617803415151,-0.1873920774224279,-0.0554903986461958,0.12427991424132842
0.95,-0.06687485908328415,-0.1421842329052471,-0.23543288982451088,-0.2554046871454061,-0.2095459145084332,-0.13816211446758478,0.06920257502540418,0.29033283403510596
1,-0.0659917568859778,-0.13914720288373472,-0.13894255234860423,-0.13171864765053515,-0.1520374064083144,-0.01025693885233277,0.1947666991918515,0.45871728750646756
